unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1502928000,2017-08-17,BTC/USDT,4469.93,4485.39,4200.74,4285.08,647.86,2812379.11,NULL
1503014400,2017-08-18,BTC/USDT,4285.08,4371.52,3938.77,4108.37,1178.07,4994493.56,NULL
1503100800,2017-08-19,BTC/USDT,4108.37,4184.69,3850,4139.98,371.15,1508239.39,NULL
1503187200,2017-08-20,BTC/USDT,4139.98,4211.08,4032.62,4086.29,463.54,1915636.35,NULL
1503273600,2017-08-21,BTC/USDT,4086.29,4119.62,3911.79,4016,685.12,2770592.06,NULL
1503360000,2017-08-22,BTC/USDT,4016,4104.82,3400,4040,939.91,3648726.5,NULL
1503446400,2017-08-23,BTC/USDT,4040,4265.8,4013.89,4114.01,980.5,4062506.52,NULL
1503532800,2017-08-24,BTC/USDT,4114.01,4371.68,4085.01,4316.01,770.46,3225405.8,NULL
1503619200,2017-08-25,BTC/USDT,4316.01,4453.91,4247.48,4280.68,563.36,2440323.79,NULL
1503705600,2017-08-26,BTC/USDT,4280.68,4367,4212.41,4337.44,225.76,967753.32,NULL
1503792000,2017-08-27,BTC/USDT,4337.44,4400,4285.54,4310.01,347.47,1507589.96,NULL
1503878400,2017-08-28,BTC/USDT,4310.01,4399.82,4124.54,4386.69,593.15,2546618.75,NULL
1503964800,2017-08-29,BTC/USDT,4386.69,4625.85,4313.55,4587.48,594.12,2640584.83,NULL
1504051200,2017-08-30,BTC/USDT,4587.48,4647.51,4416.01,4555.14,790.13,3600737.68,NULL
1504137600,2017-08-31,BTC/USDT,4555.14,4745.42,4555.14,4724.89,550.18,2548384.43,NULL
1504224000,2017-09-01,BTC/USDT,4724.89,4885.55,4654.88,4834.91,554.18,2634056.29,NULL
1504310400,2017-09-02,BTC/USDT,4834.91,4939.19,4286.87,4472.14,888.18,4072965.36,NULL
1504396800,2017-09-03,BTC/USDT,4472.14,4714.76,4298.33,4509.08,666.62,3011023.5,NULL
1504483200,2017-09-04,BTC/USDT,4509.08,4527.49,3972.51,4100.11,1309.91,5550545.61,NULL
1504569600,2017-09-05,BTC/USDT,4100.11,4484.99,3603,4366.47,1175.2,4863148.22,NULL
1504656000,2017-09-06,BTC/USDT,4366.47,4662.87,4335.26,4619.77,779.5,3500735.96,NULL
1504742400,2017-09-07,BTC/USDT,4619.77,4788.59,4438.19,4691.61,481.83,2219664.92,NULL
1504828800,2017-09-08,BTC/USDT,4691.61,4735.39,4028.93,4282.8,1108.34,4764005.93,NULL
1504915200,2017-09-09,BTC/USDT,4282.8,4426.62,4150.06,4258.81,658.59,2814560.35,NULL
1505001600,2017-09-10,BTC/USDT,4258.81,4283,3801,4130.37,648.94,2653218.2,NULL
1505088000,2017-09-11,BTC/USDT,4130.37,4334.43,4098.91,4208.47,685.57,2895733.88,NULL
1505174400,2017-09-12,BTC/USDT,4208.47,4394.59,4040.8,4163.72,873.9,3700789.23,NULL
1505260800,2017-09-13,BTC/USDT,4163.72,4165.38,3760,3944.69,901.25,3522155.98,NULL
1505347200,2017-09-14,BTC/USDT,3944.69,3993,3165.13,3189.02,1642.54,5831847.65,NULL
1505433600,2017-09-15,BTC/USDT,3189.02,3856,2817,3700,1949.32,6525220.95,NULL
1505520000,2017-09-16,BTC/USDT,3700,3950,3470.66,3714.95,1280.1,4739326.89,NULL
1505606400,2017-09-17,BTC/USDT,3714.95,3748.21,3499.02,3699.99,676.16,2445321.19,NULL
1505692800,2017-09-18,BTC/USDT,3699.99,4123.2,3690,4035.01,1027.67,4059703.98,NULL
1505779200,2017-09-19,BTC/USDT,4035.01,4089.97,3830.91,3910.04,898.81,3544361.84,NULL
1505865600,2017-09-20,BTC/USDT,3910.04,4046.08,3820,3900,719.59,2834260.05,NULL
1505952000,2017-09-21,BTC/USDT,3900,3910,3567,3609.99,971.06,3642671.89,NULL
1506038400,2017-09-22,BTC/USDT,3609.99,3750,3505.55,3595.87,833.3,3011224.81,NULL
1506124800,2017-09-23,BTC/USDT,3595.87,3817.19,3542.91,3780,747.79,2781158.57,NULL
1506211200,2017-09-24,BTC/USDT,3780,3789.99,3622.76,3660.02,659.82,2439045.2,NULL
1506297600,2017-09-25,BTC/USDT,3660.02,3979.87,3653.69,3920.75,720.64,2755957.53,NULL
1506384000,2017-09-26,BTC/USDT,3920.75,3976.99,3850.05,3882.35,523.31,2047857.28,NULL
1506470400,2017-09-27,BTC/USDT,3882.35,4249.94,3872.81,4193,625.3,2542872.29,NULL
1506556800,2017-09-28,BTC/USDT,4193,4300,4101,4174.5,839.55,3510052.09,NULL
1506643200,2017-09-29,BTC/USDT,4174.5,4263.86,3952.01,4174.69,1561.22,6403068.39,NULL
1506729600,2017-09-30,BTC/USDT,4174.69,4380,4138.1,4378.51,705.52,3025265.75,NULL
1506816000,2017-10-01,BTC/USDT,4378.51,4406.52,4240.04,4378.48,724.9,3128231.71,NULL
1506902400,2017-10-02,BTC/USDT,4378.48,4561.63,4360,4380,634.55,2811131.03,NULL
1506988800,2017-10-03,BTC/USDT,4380,4467.33,4180.8,4310,1070.97,4579122.09,NULL
1507075200,2017-10-04,BTC/USDT,4310,4373,4142,4208.59,859.82,3639917,NULL
1507161600,2017-10-05,BTC/USDT,4208.59,4355,4110,4292.43,760.44,3216620.42,NULL
1507248000,2017-10-06,BTC/USDT,4292.43,4417,4292,4369,502.17,2193131.64,NULL
1507334400,2017-10-07,BTC/USDT,4369,4479.5,4312.56,4423,288.14,1261367.6,NULL
1507420800,2017-10-08,BTC/USDT,4423,4658,4423,4640,504.13,2282412.29,NULL
1507507200,2017-10-09,BTC/USDT,4640,4889.98,4550,4786.95,639.27,3006465.77,NULL
1507593600,2017-10-10,BTC/USDT,4786.95,4960,4680.59,4783.06,1036.4,5011470.95,NULL
1507680000,2017-10-11,BTC/USDT,4783.06,4881.61,4710,4821.43,736.72,3529503.87,NULL
1507766400,2017-10-12,BTC/USDT,4821.43,5439.99,4810.16,5430,1267.18,6610146,NULL
1507852800,2017-10-13,BTC/USDT,5430,5846.17,5379.84,5649.98,1865.9,10519034.83,NULL
1507939200,2017-10-14,BTC/USDT,5649.98,5900,5580.01,5869.99,966.19,5507933.89,NULL
1508025600,2017-10-15,BTC/USDT,5869.99,5922.3,5400.01,5709.99,1329.45,7474934.37,NULL
1508112000,2017-10-16,BTC/USDT,5709.99,5788.91,5585.19,5760.02,1516.11,8628528.43,NULL
1508198400,2017-10-17,BTC/USDT,5760.02,5774.98,5508.63,5595,1422.23,7998644.63,NULL
1508284800,2017-10-18,BTC/USDT,5595,5596,5037.95,5512.06,2295.6,12337122.76,NULL
1508371200,2017-10-19,BTC/USDT,5512.06,5710,5490.26,5683.9,1869.04,10537781.67,NULL
1508457600,2017-10-20,BTC/USDT,5683.9,6110,5600,6010.01,1930.56,11235714.66,NULL
1508544000,2017-10-21,BTC/USDT,6010.01,6171,5850.03,6024.97,1650.65,10031910.73,NULL
1508630400,2017-10-22,BTC/USDT,6024.97,6060,5720.03,5950.02,1347.95,7951487.14,NULL
1508716800,2017-10-23,BTC/USDT,5950.02,6080,5621.03,5915.93,1788.86,10468709.39,NULL
1508803200,2017-10-24,BTC/USDT,5915.93,5925,5450,5477.03,2555.89,14426687.47,NULL
1508889600,2017-10-25,BTC/USDT,5477.03,5704.96,5286.98,5689.99,2256.1,12398533.97,NULL
1508976000,2017-10-26,BTC/USDT,5689.99,5939.99,5650,5861.77,1959.75,11340558.63,NULL
1509062400,2017-10-27,BTC/USDT,5861.77,5980,5649.24,5768.83,1394.13,8110889.65,NULL
1509148800,2017-10-28,BTC/USDT,5768.83,5850.02,5630.03,5719.64,1269.38,7265286.61,NULL
1509235200,2017-10-29,BTC/USDT,5719.64,6189.88,5648.01,6169.98,1783.44,10494670.52,NULL
1509321600,2017-10-30,BTC/USDT,6169.98,6248.68,6030,6120.5,1467.03,8989412.91,NULL
1509408000,2017-10-31,BTC/USDT,6120.5,6498.01,6100,6463,1498.91,9405855.26,NULL
1509494400,2017-11-01,BTC/USDT,6463,6774.67,6338.02,6753.98,1659.85,10848260.96,NULL
1509580800,2017-11-02,BTC/USDT,6753.98,7300,6685.1,7019.98,2459.59,17065694.69,NULL
1509667200,2017-11-03,BTC/USDT,7019.98,7346.34,6923,7115.04,1857.73,13371961.76,NULL
1509753600,2017-11-04,BTC/USDT,7115.04,7480.99,6901,7357.09,1385.7,9967485.56,NULL
1509840000,2017-11-05,BTC/USDT,7357.09,7590.25,7279.02,7345.01,1192.58,8887109.79,NULL
1509926400,2017-11-06,BTC/USDT,7345.01,7401,6906,6960.12,1741.45,12518224.29,NULL
1510012800,2017-11-07,BTC/USDT,6960.12,7198.49,6901,7064.04,1421.75,10043061.88,NULL
1510099200,2017-11-08,BTC/USDT,7064.04,7770,6651,7303,2726.84,19801967.39,NULL
1510185600,2017-11-09,BTC/USDT,7303,7392,7015,7079.99,1893.28,13654254.41,NULL
1510272000,2017-11-10,BTC/USDT,7079.99,7279.91,6255.01,6506.98,3186.23,21622898.73,NULL
1510358400,2017-11-11,BTC/USDT,6506.98,6797.98,6100,6245.05,2685.67,17244601.14,NULL
1510444800,2017-11-12,BTC/USDT,6245.05,6630,5325.01,5811.03,4854.44,29032268.06,NULL
1510531200,2017-11-13,BTC/USDT,5811.03,6697.47,5699.99,6465.99,2543.41,16021297.87,NULL
1510617600,2017-11-14,BTC/USDT,6465.99,6684.98,6311.07,6574.99,1228.66,8002218.02,NULL
1510704000,2017-11-15,BTC/USDT,6574.99,7298,6574.99,7240.06,1745.83,12209260.29,NULL
1510790400,2017-11-16,BTC/USDT,7240.06,7940,7076,7864.5,2294.2,17218742.72,NULL
1510876800,2017-11-17,BTC/USDT,7864.5,7989,7451,7699.19,3893.14,30331551.17,NULL
1510963200,2017-11-18,BTC/USDT,7699.19,7819.99,7422,7761.94,3912.88,30018085.64,NULL
1511049600,2017-11-19,BTC/USDT,7761.94,8123.15,7650.33,8038,3845.99,30155811.14,NULL
1511136000,2017-11-20,BTC/USDT,8038,8319.99,7954,8212,3857,31325904.01,NULL
1511222400,2017-11-21,BTC/USDT,8212,8400,7801,8119.51,4468.09,36459262.83,NULL
1511308800,2017-11-22,BTC/USDT,8119.51,8322.68,8091.09,8205.92,3518.81,28909672.15,NULL
1511395200,2017-11-23,BTC/USDT,8205.92,8260,8000,8019.99,4054.54,33078791.97,NULL
1511481600,2017-11-24,BTC/USDT,8019.99,8369,7850,8138,4331.83,35190695.02,NULL
1511568000,2017-11-25,BTC/USDT,8138,8734.78,8090,8700.01,4228.66,35557462.89,NULL
1511654400,2017-11-26,BTC/USDT,8700.01,9350,8604.72,9128.02,4108.18,36788798.23,NULL
1511740800,2017-11-27,BTC/USDT,9128.02,9654.28,9112.04,9650,4473.98,42510408.37,NULL
1511827200,2017-11-28,BTC/USDT,9650,9939,9570.5,9896.8,4877.07,47842436.8,NULL
1511913600,2017-11-29,BTC/USDT,9896.8,11300.03,8520,9687.88,13041.92,132892125.36,NULL
1512000000,2017-11-30,BTC/USDT,9687.88,10900,8850.8,9838.96,9181.76,89443707.91,NULL
1512086400,2017-12-01,BTC/USDT,9838.96,10898,9380,10782.99,6033.85,61238619.44,NULL
1512172800,2017-12-02,BTC/USDT,10782.99,11190,10620,10890.01,4700.93,51343786.05,NULL
1512259200,2017-12-03,BTC/USDT,10890.01,11825,10500,11165.41,5212.23,58847089.26,NULL
1512345600,2017-12-04,BTC/USDT,11165.41,11600,10802,11579,4599.15,52088059.28,NULL
1512432000,2017-12-05,BTC/USDT,11579,11853,11447.68,11699.99,5510.92,64256817.15,NULL
1512518400,2017-12-06,BTC/USDT,11699.99,13615.23,11665.58,13550.05,6556.68,82493149.76,NULL
1512604800,2017-12-07,BTC/USDT,13550.05,16649.96,13050,16599,7262.95,106276261.15,NULL
1512691200,2017-12-08,BTC/USDT,16599,17204.99,14015,15880,17344.04,267790028.46,NULL
1512777600,2017-12-09,BTC/USDT,15880,16269.3,12535,14656.07,13725,202610478.58,NULL
1512864000,2017-12-10,BTC/USDT,14656.07,15720.12,12368,14899.98,16107.43,227450819.89,NULL
1512950400,2017-12-11,BTC/USDT,14899.98,17470,14899.98,16587.97,11632.79,189991754.64,NULL
1513036800,2017-12-12,BTC/USDT,16587.97,16976.45,15875,16349.99,9309.36,153618681.17,NULL
1513123200,2017-12-13,BTC/USDT,16349.99,16546,14666.56,16033.29,12216.88,193659309.9,NULL
1513209600,2017-12-14,BTC/USDT,16033.29,16445,15450,16334.98,11220.26,179714368.68,NULL
1513296000,2017-12-15,BTC/USDT,16334.98,17991,16298.45,17539.83,8999.13,156645098.58,NULL
1513382400,2017-12-16,BTC/USDT,17539.83,19539,17190.01,19102.66,4118.28,74736577.26,NULL
1513468800,2017-12-17,BTC/USDT,19102.66,19798.68,18510,18860.02,8980.73,172113390.51,NULL
1513555200,2017-12-18,BTC/USDT,18860.02,19300,17029.98,18856.25,10280.98,190057336.85,NULL
1513555200000,2017-12-18 00:00:00,BTC/USDT,18860.04,19300,17029.98,18856.25,10624.633071,196339245.745198,91956
1513641600000,2017-12-19 00:00:00,BTC/USDT,18856.25,18950,16300,17295.2,13210.74822,232790625.923367,116569
1513728000000,2017-12-20 00:00:00,BTC/USDT,17295.2,17720.35,14777.66,16488.98,13450.496693,221193892.502239,129762
1513814400000,2017-12-21 00:00:00,BTC/USDT,16480.52,17309.5,14022,15492.64,20324.2173,320176825.290376,117731
1513900800000,2017-12-22 00:00:00,BTC/USDT,15514.03,15699.34,10961,13326.61,36076.271175,477509934.718287,243261
1513987200000,2017-12-23 00:00:00,BTC/USDT,13326.61,14950,12978.18,13300,13141.538875,184759685.332067,135005
1514073600000,2017-12-24 00:00:00,BTC/USDT,13300,13819.99,11640,13500,28557.534988,365709589.603029,173557
1514160000000,2017-12-25 00:00:00,BTC/USDT,13500,14300,12708,13699.34,15748.207607,213139657.628915,116416
1514246400000,2017-12-26 00:00:00,BTC/USDT,13699.34,16050,13533,15689.01,15034.668104,224843731.896569,133133
1514332800000,2017-12-27 00:00:00,BTC/USDT,15709.98,16498.05,14200.15,15459.99,14959.864723,231229932.482041,142202
1514419200000,2017-12-28 00:00:00,BTC/USDT,15459.97,15539.99,13150,14182.11,21717.858014,303401227.98652,178032
1514505600000,2017-12-29 00:00:00,BTC/USDT,14199.14,14981,13850,14378.9,18072.008116,260911629.218077,142100
1514592000000,2017-12-30 00:00:00,BTC/USDT,14378.99,14398.85,11750,12440.01,19221.158039,247803953.752486,190204
1514678400000,2017-12-31 00:00:00,BTC/USDT,12345.1,14050.11,12149.98,13716.36,11768.989718,155283285.367041,138893
1514764800000,2018-01-01 00:00:00,BTC/USDT,13715.65,13818.55,12750,13380,8609.915844,114799747.441971,105595
1514851200000,2018-01-02 00:00:00,BTC/USDT,13382.16,15473.49,12890.02,14675.11,20078.092111,279717107.433719,177728
1514937600000,2018-01-03 00:00:00,BTC/USDT,14690,15307.56,14150,14919.51,15905.667639,236116868.33619,162787
1515024000000,2018-01-04 00:00:00,BTC/USDT,14919.51,15280,13918.04,15059.54,21329.649574,312781583.798308,170310
1515110400000,2018-01-05 00:00:00,BTC/USDT,15059.56,17176.24,14600,16960.39,23251.491125,369321956.486838,192969
1515196800000,2018-01-06 00:00:00,BTC/USDT,16960.39,17143.13,16011.21,17069.79,18571.457508,309216920.98641,158242
1515283200000,2018-01-07 00:00:00,BTC/USDT,17069.79,17099.96,15610,16150.03,12493.125558,206194706.370684,120269
1515369600000,2018-01-08 00:00:00,BTC/USDT,16218.85,16322.3,12812,14902.54,26600.609912,396569997.157463,208642
1515456000000,2018-01-09 00:00:00,BTC/USDT,14902.54,15500,14011.05,14400,14315.004253,210630187.457669,156656
1515542400000,2018-01-10 00:00:00,BTC/USDT,14401,14955.66,13131.31,14907.09,17411.001655,244011366.763028,161476
1515628800000,2018-01-11 00:00:00,BTC/USDT,14940,14968.68,11400,13238.78,33554.723751,446587594.693738,239416
1515715200000,2018-01-12 00:00:00,BTC/USDT,13238.76,14109.78,12500,13740.01,16417.162137,222516076.271459,134452
1515801600000,2018-01-13 00:00:00,BTC/USDT,13749.95,14580,13706.15,14210,12221.508528,173086488.547884,123639
1515888000000,2018-01-14 00:00:00,BTC/USDT,14210,14339.5,12569.2,13474.99,17017.894329,226525305.129381,152364
1515974400000,2018-01-15 00:00:00,BTC/USDT,13477.98,14249.99,13147.79,13539.93,14652.094705,200614554.538343,145362
1516060800000,2018-01-16 00:00:00,BTC/USDT,13500,13542.93,9035,10900,63401.169175,722150828.149402,418243
1516147200000,2018-01-17 00:00:00,BTC/USDT,10899.99,11680.99,9037.94,10988.79,72331.796646,744154180.131206,517293
1516233600000,2018-01-18 00:00:00,BTC/USDT,10972.59,11878.82,10435.33,10961.97,48464.434937,541289614.058405,393112
1516320000000,2018-01-19 00:00:00,BTC/USDT,10960,11795,10360,11474.98,34129.375421,382773499.226579,273271
1516406400000,2018-01-20 00:00:00,BTC/USDT,11474.98,13099,11412.45,12799.94,28768.857827,358561107.78097,251647
1516492800000,2018-01-21 00:00:00,BTC/USDT,12799.8,12799.8,10965,11530,41379.773426,485289230.818892,360207
1516579200000,2018-01-22 00:00:00,BTC/USDT,11530,11926.35,9900.24,10760.05,43752.606791,475716514.208697,363264
1516665600000,2018-01-23 00:00:00,BTC/USDT,10760.05,11399,9905,10799.18,37473.922552,399419413.232981,355286
1516752000000,2018-01-24 00:00:00,BTC/USDT,10799.14,11570.48,10500,11349.99,27158.587762,299470607.4302,293429
1516838400000,2018-01-25 00:00:00,BTC/USDT,11349.96,11794.05,10950.21,11175.27,20839.954183,236081364.973652,221040
1516924800000,2018-01-26 00:00:00,BTC/USDT,11184.7,11643,10311.15,11089,33056.87196,360482470.173754,314720
1517011200000,2018-01-27 00:00:00,BTC/USDT,11089,11650,10842.69,11491,18860.768345,212663199.533482,207478
1517097600000,2018-01-28 00:00:00,BTC/USDT,11499.98,12244,11408,11879.95,16887.339524,200211582.943454,206247
1517184000000,2018-01-29 00:00:00,BTC/USDT,11879.95,11975.02,11139.55,11251,14170.377538,162110154.878804,169199
1517270400000,2018-01-30 00:00:00,BTC/USDT,11250.11,11308.42,9900,10237.51,25554.372946,268978329.508615,259212
1517356800000,2018-01-31 00:00:00,BTC/USDT,10230,10425.85,9700,10285.1,18015.956805,181644207.113163,201422
1517443200000,2018-02-01 00:00:00,BTC/USDT,10285.1,10335,8750.99,9224.52,33564.764311,317636345.984371,316020
1517529600000,2018-02-02 00:00:00,BTC/USDT,9224.52,9250,8010.02,8873.03,49971.626975,434236483.704487,453411
1517616000000,2018-02-03 00:00:00,BTC/USDT,8873.03,9473.01,8229,9199.96,28725.000735,256834729.059911,327519
1517702400000,2018-02-04 00:00:00,BTC/USDT,9199.96,9368,7930,8184.81,32014.308449,274912288.421322,356134
1517788800000,2018-02-05 00:00:00,BTC/USDT,8179.99,8382.8,6625,6939.99,63403.182579,471166218.713447,533510
1517875200000,2018-02-06 00:00:00,BTC/USDT,6939.63,7878,6000.01,7652.14,100201.500307,684364276.366669,785996
